Botanical Name;Height;Spread;Spacing;USDA Hardiness Zone;Bloom Color;Common Name;Soil Moisture Preference;Exposure;Flowering Months;Attracts Wildlife;Extra Attributes;Deer Resistant;Foliage Color;Growth Rate;Salt Tolerance;Season of Interest;Phytoremediation
Achillea filipendulina 'Coronation Gold';30-36 in;18-24 in;24-36 in;3 - 8;Bright Yellow;Coronation Gold yarrow;Dry to Moist;Full Sun;September,August,July,June;Pollinators,Butterflies;Interesting Foliage,Drought Tolerant,Dried Flower,Cut Flower,Rock Garden,Reblooming,Long Blooming;Deer Resistant;Gray-Green;Medium;High;Spring,Summer; ;
Achillea millifolium 'Terracotta';2-3 ft;12-18 in;18-24 in;3 - 8;Red Orange;Terracotta Yarrow;Dry to Moist;Full Sun;September,August,July,June;Pollinators,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Long Blooming;Deer Resistant;Green;Medium;Medium;Summer,Spring;Cd-Cadmium;
Agastache 'Blue Fortune';2-3 ft;2-3 ft;3-4 ft;5-9;Lavender-Blue;Blue Fortune anise hyssop;Moist/Well-Drained;Full Sun to Full Shade;September,August,July;Pollinators,Hummingbirds,Butterflies;Long Blooming,Drought Tolerant,Cut Flower,Rock Garden;Deer Resistant;Green;Fast;Medium;Summer; ;
Agastache foeniculum;2-4 ft;2-3 ft; ;4-8;Lavender;Anise Hyssop;Dry to Moist;Full Sun to Partial Shade;September,August,July;Butterflies,Pollinators,Hummingbirds;Interesting Foliage,Fragrant,East-Coast Native,Drought Tolerant,Naturalizing;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Alchemilla mollis;12-18 in;18-30 in;18 in;3-8;Light Green;lady's mantle;Moist;Full Sun to Partial Shade;June;Pollinators;Dried Flower,Cut Flower;Deer Resistant;Gray-Green;Medium; ;Summer,Spring; ;
Allium 'Millenium';12-18 in;12-18 in;12 in;5 - 8;Purple;Millenium ornamental onion;Dry to Moist;Full Sun to Partial Shade;August,July;Butterflies,Songbirds,Pollinators,Hummingbirds;Long Blooming,Drought Tolerant,Cut Flower,Rock Garden;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Allium cernuum;1-2 ft;8-10 in; ;4-8;Pink;Nodding onion;Moist;Full Sun to Partial Shade;June,May;Pollinators,Hummingbirds,Butterflies;Dried Flower,Cut Flower,Container,Rock Garden,Naturalizing,Ground Cover,Drought Tolerant;Deer Resistant;Green;Medium; ;Spring;Cd-Cadmium;
Allium lusitanicum 'Summer Beauty';18-24 in;18-24 in;18-24 in;5 - 8;Lavender;Summer Beauty ornamental onion;Dry to Moist;Full Sun;August,July;Pollinators,Butterflies;Fragrant,Drought Tolerant,Cut Flower,Clay Soil,Rock Garden,Naturalizing,Long Blooming;Deer Resistant;Green;Fast; ;Summer,Spring; ;
Allium schoenoprasum;12-18 in;12-18 in;12 in;4 - 8;Purple;Chives;Average;Full Sun to Partial Shade;May,April;Butterflies,Songbirds,Pollinators;Drought Tolerant,Cut Flower,Container,Clay Soil,Rock Garden,Naturalizing,Fragrant;Deer Resistant;Green;Medium;Medium;Summer,Spring; ;
Amorpha canascens;1-3 ft;1-3 ft;1-3 ft;2-9;Purple Blue;Lead plant;Well-Drained;Full Sun;July,June;Pollinators,Butterflies;Naturalizing,Interesting Foliage,Drought Tolerant; ;Gray-Green;Slow; ;Summer,Spring; ;
Amsonia illustris;3 ft;3 ft;3-4 ft;5-9;Blue;Shining bluestar;Moist;Full Sun to Partial Shade;May; ;Naturalizing,Rain Garden,Interesting Foliage,East-Coast Native,Drought Tolerant,Cut Flower,Bog; ;Green; ; ;Fall,Spring; ;
Amsonia tabernaemontana;2-3 ft;2-3 ft; ;4-9;Blue;Bluestar, Blue Dogbane;Moist;Full Sun to Partial Shade;June,May; ;Drought Tolerant,Cut Flower,Clay Soil;Deer Resistant;Green; ; ; ; ;
Amsonia tabernaemontana v. salicifolia;3 ft;2-3 ft; ;3-9;Blue;Willow leaf Bluestar;Moist;Partial Shade to Full Sun;June,May;Butterflies;Cut Flower,Clay Soil;Deer Resistant;Green; ; ; ; ;
Amsonia tabernaemontani 'Grande';2-3 ft;2-3 ft;2 ft;5-9;Blue;Bluestar;Moist;Full Sun to Partial Shade;June,May; ;Naturalizing,Interesting Foliage,Rain Garden,East-Coast Native,Cut Flower,Clay Soil,Bog; ;Green; ; ; ; ;
